,time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
5866,6056,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5867,6057,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5868,6058,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5869,6059,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5870,6060,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5871,6061,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5872,6062,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5873,6063,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5874,6064,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5875,6065,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5876,6066,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5877,6067,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5878,6068,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5879,6069,-1e-05,-1e-05,-7e-05,-0.00022999999999999998,0.0,5e-05,9e-05,-4e-05,2
5880,6070,-2.9999999999999997e-05,0.00013000000000000002,0.00011,0.00037,0.0,-1e-05,0.0001,-1e-05,2
5881,6071,-2.9999999999999997e-05,0.00013000000000000002,0.00011,0.00037,0.0,-1e-05,0.0001,-1e-05,2
5882,6072,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5883,6073,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5884,6074,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5885,6075,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5886,6076,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5887,6077,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5888,6078,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5889,6079,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5890,6080,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5891,6081,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5892,6082,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5893,6083,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5894,6084,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5895,6085,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5896,6086,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5897,6088,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5898,6089,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5899,6090,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5900,6091,2e-05,-5e-05,5.9999999999999995e-05,0.00023999999999999998,7e-05,7e-05,0.0005099999999999999,7e-05,2
5901,6092,4e-05,0.00016999999999999999,0.0,-0.00021,-2e-05,5.9999999999999995e-05,0.00014,2e-05,2
5902,6093,4e-05,0.00016999999999999999,0.0,-0.00021,-2e-05,5.9999999999999995e-05,0.00014,2e-05,2
5903,6094,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5904,6095,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5905,6096,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5906,6097,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5907,6098,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5908,6099,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5909,6100,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5910,6101,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5911,6102,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5912,6103,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5913,6104,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5914,6105,0.0,-2e-05,5.9999999999999995e-05,5.9999999999999995e-05,-4e-05,0.0,-0.00018,1e-05,2
5915,6106,1e-05,2e-05,2e-05,0.0001,0.0001,2e-05,-0.00025,-5e-05,2
5916,6107,1e-05,2e-05,2e-05,0.0001,0.0001,2e-05,-0.00025,-5e-05,2
5917,6108,1e-05,2e-05,2e-05,0.0001,0.0001,2e-05,-0.00025,-5e-05,2
5918,6109,1e-05,2e-05,2e-05,0.0001,0.0001,2e-05,-0.00025,-5e-05,2
5919,6110,1e-05,2e-05,2e-05,0.0001,0.0001,2e-05,-0.00025,-5e-05,2
5920,6111,1e-05,2e-05,2e-05,0.0001,0.0001,2e-05,-0.00025,-5e-05,2
5921,6112,1e-05,2e-05,2e-05,0.0001,0.0001,2e-05,-0.00025,-5e-05,2
5922,6113,1e-05,2e-05,2e-05,0.0001,0.0001,2e-05,-0.00025,-5e-05,2
5923,6114,1e-05,2e-05,2e-05,0.0001,0.0001,2e-05,-0.00025,-5e-05,2
5924,6115,-1e-05,-2e-05,-4e-05,-4e-05,8e-05,-4e-05,-1e-05,-2.9999999999999997e-05,2
5925,6116,-1e-05,-2e-05,-4e-05,-4e-05,8e-05,-4e-05,-1e-05,-2.9999999999999997e-05,2
5926,6117,-1e-05,-2e-05,-4e-05,-4e-05,8e-05,-4e-05,-1e-05,-2.9999999999999997e-05,2
