,time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
4045,4161,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4046,4162,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4047,4163,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4048,4164,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4049,4165,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4050,4166,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4051,4167,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4052,4168,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4053,4169,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4054,4170,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4055,4171,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4056,4172,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4057,4173,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4058,4174,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4059,4175,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4060,4176,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4061,4177,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4062,4178,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4063,4179,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4064,4180,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4065,4181,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4066,4182,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4067,4183,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4068,4184,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4069,4185,-0.00032,-0.00018999999999999998,-0.00033999999999999997,-0.0005200000000000001,-0.00011,-5.9999999999999995e-05,-0.00018,-9e-05,2
4070,4186,0.00015,0.00016,0.00015,-7e-05,2e-05,0.00013000000000000002,0.0002,5e-05,2
4071,4188,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4072,4189,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4073,4190,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4074,4191,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4075,4192,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4076,4193,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4077,4194,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4078,4195,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4079,4196,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4080,4197,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4081,4198,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4082,4199,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
4083,4200,-0.0004,-2.9999999999999997e-05,0.00032,0.00016,8e-05,1e-05,2.9999999999999997e-05,-0.00044,2
